descripcion,presentacion,CODIGO,Precio Final,Precio Comp,LÃ­nea,PresentaciÃ³n,Envase,Principio Activo,PresentaciÃ³nedwerwer,CÃ³digo,EAN 13,Producto,Unnamed: 5,DROGUERIA,DROGUERIA.1,SUGERIDO,Cert.,PresentaciÃ³ncaca,codigo,descripcionhgdf,Unnamed: 2,descripcion_presentacion
FOTORRETIN,SOLUCION FRASCO X 5 ML,,,,,,FRASCO X 5 ML,,,4070301.0,,,,,,,39060,SOLUCION,,,,FOTORRETIN SOLUCION FRASCO X 5 ML
GATIDEX  PAMI,SUSPENSION FRASCO X 5 ML,,,,,,FRASCO X 5 ML,,,4081601.0,,,,,,,55759,SUSPENSION,,,,GATIDEX  PAMI SUSPENSION FRASCO X 5 ML
GATIF FORTE   PAMI,SOLUCION FRASCO X 5 ML,,,,,,FRASCO X 5 ML,,,4027902.0,,,,,,,51521,SOLUCION,,,,GATIF FORTE   PAMI SOLUCION FRASCO X 5 ML
GLAUCOTENSIL TD  PAMI,SOLUCION FRASCO X 5 ML,,,,,,FRASCO X 5 ML,,,4074001.0,,,,,,,48301,SOLUCION,,,,GLAUCOTENSIL TD  PAMI SOLUCION FRASCO X 5 ML
GLAUCOTENSIL TD  LC,SOLUCION FRASCO X 5 ML,,,,,,FRASCO X 5 ML,,,4074002.0,,,,,,,48301,SOLUCION,,,,GLAUCOTENSIL TD  LC SOLUCION FRASCO X 5 ML
GOTA PC,SOLUCION FRASCO X 10 ML,,,,,,FRASCO X 10 ML,,,4030301.0,,,,,,,54154,SOLUCION,,,,GOTA PC SOLUCION FRASCO X 10 ML
GOTA PC PLUS,SOLUCION FRASCO X 10 ML,,,,,,FRASCO X 10 ML,,,4030304.0,,,,,,,54154,SOLUCION,,,,GOTA PC PLUS SOLUCION FRASCO X 10 ML
GOTA PC DESCONGESTIVO,SOLUCION FRASCO X 10 ML,,,,,,FRASCO X 10 ML,,,4063706.0,,,,,,,9101,SOLUCION,,,,GOTA PC DESCONGESTIVO SOLUCION FRASCO X 10 ML
GOTA PC DESCONGESTIVO BAÃO OCULAR,SOLUCION FRASCO X 80 ML,,,,,,FRASCO X 80 ML,,,4063707.0,,,,,,,9101,SOLUCION,,,,GOTA PC DESCONGESTIVO BAÃO OCULAR SOLUCION FRASCO X 80 ML
GOTABIOTIC  PAMI,SOLUCION FRASCO X 5 ML,,,,,,FRASCO X 5 ML,,,4064001.0,,,,,,,36557,SOLUCION,,,,GOTABIOTIC  PAMI SOLUCION FRASCO X 5 ML
GOTABIOTIC D  PAMI,SUSPENSION FRASCO X 5 ML,,,,,,FRASCO X 5 ML,,,4084901.0,,,,,,,38669,SUSPENSION,,,,GOTABIOTIC D  PAMI SUSPENSION FRASCO X 5 ML
GOTABIOTIC F  PAMI,SUSPENSION FRASCO X 5 ML,,,,,,FRASCO X 5 ML,,,4072701.0,,,,,,,44946,SUSPENSION,,,,GOTABIOTIC F  PAMI SUSPENSION FRASCO X 5 ML
GOTABIOTIC F  PAMI,UNGÃENTO POMO X 3.5 GRAMOS,,,,,,POMO X 3.5 GRAMOS,,,4072702.0,,,,,,,44946,UNGÃENTO,,,,GOTABIOTIC F  PAMI UNGÃENTO POMO X 3.5 GRAMOS
GOTABIOTIC PAMI,GEL POMO X 5 GRAMOS,,,,,,POMO X 5 GRAMOS,,,4064002.0,,,,,,,36557,GEL,,,,GOTABIOTIC PAMI GEL POMO X 5 GRAMOS
KETIF,SOLUCION FRASCO X 5 ML,,,,,,FRASCO X 5 ML,,,4035601.0,,,,,,,49102,SOLUCION,,,,KETIF SOLUCION FRASCO X 5 ML
LAGRIMA ARTIFICIAL POEN,SOLUCION FRASCO X 10 ML,,,,,,FRASCO X 10 ML,,,4081502.0,,,,,,,34427,SOLUCION,,,,LAGRIMA ARTIFICIAL POEN SOLUCION FRASCO X 10 ML
LASIN,SOLUCION FRASCO X 3 ML,,,,,,FRASCO X 3 ML,,,4008102.0,,,,,,,34427,SOLUCION,,,,LASIN SOLUCION FRASCO X 3 ML
LASIN,SOLUCION FRASCO X 5 ML,,,,,,FRASCO X 5 ML,,,4008101.0,,,,,,,50395,SOLUCION,,,,LASIN SOLUCION FRASCO X 5 ML
LIDCLEAN,ESPUMA FRASCO X 50 ML,,,,,,FRASCO X 50 ML,,,4002001.0,,,,,,,3514/2021,ESPUMA,,,,LIDCLEAN ESPUMA FRASCO X 50 ML
LOTEMICIN   PAMI,SUSPENSION FRASCO X 5 ML,,,,,,FRASCO X 5 ML,,,4086201.0,,,,,,,52812,SUSPENSION,,,,LOTEMICIN   PAMI SUSPENSION FRASCO X 5 ML
LOTESOFT PAMI,"UNGÃENTO POMO X 3,5 GR",,,,,,"POMO X 3,5 GR",,,4028905.0,,,,,,,48630,UNGÃENTO,,,,"LOTESOFT PAMI UNGÃENTO POMO X 3,5 GR"
LOTESOFT PAMI,SUSPENSION FRASCO X 5 ML,,,,,,FRASCO X 5 ML,,,4028902.0,,,,,,,48630,SUSPENSION,,,,LOTESOFT PAMI SUSPENSION FRASCO X 5 ML
LOUTEN  T   PAMI,SOLUCION FRASCO X 2.5 ML,,,,,,FRASCO X 2.5 ML,,,4074901.0,,,,,,,50405,SOLUCION,,,,LOUTEN  T   PAMI SOLUCION FRASCO X 2.5 ML
LOUTEN PAMI,EMULSION FRASCO X 2.5 ML,,,,,,FRASCO X 2.5 ML,,,4038102.0,,,,,,,47750,EMULSION,,,,LOUTEN PAMI EMULSION FRASCO X 2.5 ML
NATAX   PAMI,SOLUCION FRASCO X 5 ML,,,,,,FRASCO X 5 ML,,,4008701.0,,,,,,,53297,SOLUCION,,,,NATAX   PAMI SOLUCION FRASCO X 5 ML
NEWCLAR,SOLUCION FRANCO X 10 ML,,,,,,FRANCO X 10 ML,,,4052602.0,,,,,,,47354,SOLUCION,,,,NEWCLAR SOLUCION FRANCO X 10 ML
POEN CAINA,SOLUCION FRASCO X 10 ML,,,,,,FRASCO X 10 ML,,,4055702.0,,,,,,,48493,SOLUCION,,,,POEN CAINA SOLUCION FRASCO X 10 ML
POENBIOPTAL,SOLUCION FRASCO X 5 ML,,,,,,FRASCO X 5 ML,,,4084703.0,,,,,,,24380,SOLUCION,,,,POENBIOPTAL SOLUCION FRASCO X 5 ML
POENBIOPTAL NF,SOLUCION FRASCO X 5 ML,,,,,,FRASCO X 5 ML,,,4074402.0,,,,,,,48308,SOLUCION,,,,POENBIOPTAL NF SOLUCION FRASCO X 5 ML
POENKERAT   PAMI,SOLUCION FRASCO X 5 ML,,,,,,FRASCO X 5 ML,,,4036601.0,,,,,,,43106,SOLUCION,,,,POENKERAT   PAMI SOLUCION FRASCO X 5 ML
"POENTIMOL 0,50%   PAMI",SOLUCION FRASCO X 5 ML,,,,,,FRASCO X 5 ML,,,4063902.0,,,,,,,38251,SOLUCION,,,,"POENTIMOL 0,50%   PAMI SOLUCION FRASCO X 5 ML"
PROVISUAL COMPUESTO,SOLUCION FRASCO X 5 ML,,,,,,FRASCO X 5 ML,,,4085201.0,,,,,,,36457,SOLUCION,,,,PROVISUAL COMPUESTO SOLUCION FRASCO X 5 ML
QUIDEX   PAMI,SOLUCION FRASCO X 5 ML,,,,,,FRASCO X 5 ML,,,4076101.0,,,,,,,51397,SOLUCION,,,,QUIDEX   PAMI SOLUCION FRASCO X 5 ML
QUIDEX  PAMI,UNGÃENTO POMO X 3.5 GRAMOS,,,,,,POMO X 3.5 GRAMOS,,,4076102.0,,,,,,,51397,UNGÃENTO,,,,QUIDEX  PAMI UNGÃENTO POMO X 3.5 GRAMOS
TOLF   PAMI,EMULSION FRASCO X 5 ML,,,,,,FRASCO X 5 ML,,,4020701.0,,,,,,,57282,EMULSION,,,,TOLF   PAMI EMULSION FRASCO X 5 ML
TRALER,SOLUCION FRASCO X 5 ML,,,,,,FRASCO X 5 ML,,,4006701.0,,,,,,,56542,SOLUCION,,,,TRALER SOLUCION FRASCO X 5 ML
TRALER LC,SOLUCION FRASCO X 5 ML,,,,,,FRASCO X 5 ML,,,4006702.0,,,,,,,56542,SOLUCION,,,,TRALER LC SOLUCION FRASCO X 5 ML
XEGREX,SOLUCION FRASCO X 5 ML,,,,,,FRASCO X 5 ML,,,4082201.0,,,,,,,59732,SOLUCION,,,,XEGREX SOLUCION FRASCO X 5 ML
XEGREX LC,SOLUCION FRASCO X 5 ML,,,,,,FRASCO X 5 ML,,,4082203.0,,,,,,,59732,SOLUCION,,,,XEGREX LC SOLUCION FRASCO X 5 ML
,,,,,,,,,,,,,,,,,,,,,, 
ARLYT CLEAN,SOLUCION FRASCO X 35 ML,,,,,,FRASCO X 35 ML,,,4058301.0,,,,,,,2174-4,SOLUCION,,,,ARLYT CLEAN SOLUCION FRASCO X 35 ML
ARLYT CLEAN RGP,SOLUCION FRASCO X 35 ML,,,,,,FRASCO X 35 ML,,,4058302.0,,,,,,,2174-4,SOLUCION,,,,ARLYT CLEAN RGP SOLUCION FRASCO X 35 ML
ARLYT EXPRESS,SOLUCION FRASCO X 120 ML,,,,,,FRASCO X 120 ML,,,4058102.0,,,,,,,2174-1,SOLUCION,,,,ARLYT EXPRESS SOLUCION FRASCO X 120 ML
ARLYT EXPRESS,SOLUCION FRASCO X 240 ML,,,,,,FRASCO X 240 ML,,,4058103.0,,,,,,,2174-1,SOLUCION,,,,ARLYT EXPRESS SOLUCION FRASCO X 240 ML
ARLYT EXPRESS,SOLUCION FRASCO X 360 ML,,,,,,FRASCO X 360 ML,,,4058104.0,,,,,,,2174-1,SOLUCION,,,,ARLYT EXPRESS SOLUCION FRASCO X 360 ML
ARLYT EXPRESS,SOLUCION FRASCO X 500 ML,,,,,,FRASCO X 500 ML,,,4058106.0,,,,,,,2174-1,SOLUCION,,,,ARLYT EXPRESS SOLUCION FRASCO X 500 ML
ARLYT EXPRESS,SOLUCION FRASCO X 60 ML,,,,,,FRASCO X 60 ML,,,4058101.0,,,,,,,2174-1,SOLUCION,,,,ARLYT EXPRESS SOLUCION FRASCO X 60 ML
ARLYT FRESH,SOLUCION FRASCO X 15 ML,,,,,,FRASCO X 15 ML,,,4010206.0,,,,,,,2174-4,SOLUCION,,,,ARLYT FRESH SOLUCION FRASCO X 15 ML
ARLYT KLINNER,SOLUCION FRASCO X 35 ML,,,,,,FRASCO X 35 ML,,,4037501.0,,,,,,,,SOLUCION,,,,ARLYT KLINNER SOLUCION FRASCO X 35 ML
ARLYT LUBRICANTE,SOLUCION FRASCO X 15 ML,,,,,,FRASCO X 15 ML,,,4031109.0,,,,,,,2174-5,SOLUCION,,,,ARLYT LUBRICANTE SOLUCION FRASCO X 15 ML
ARLYT PREMIUM,SOLUCION FRASCO X 120 ML,,,,,,FRASCO X 120 ML,,,4058202.0,,,,,,,2174-2,SOLUCION,,,,ARLYT PREMIUM SOLUCION FRASCO X 120 ML
ARLYT PREMIUM,SOLUCION FRASCO X 240 ML,,,,,,FRASCO X 240 ML,,,4058203.0,,,,,,,2174-2,SOLUCION,,,,ARLYT PREMIUM SOLUCION FRASCO X 240 ML
ARLYT PREMIUM,SOLUCION FRASCO X 360 ML,,,,,,FRASCO X 360 ML,,,4058204.0,,,,,,,2174-2,SOLUCION,,,,ARLYT PREMIUM SOLUCION FRASCO X 360 ML
ARLYT PREMIUM,SOLUCION FRASCO X 60 ML,,,,,,FRASCO X 60 ML,,,4058201.0,,,,,,,2174-2,SOLUCION,,,,ARLYT PREMIUM SOLUCION FRASCO X 60 ML
ARLYT RGP,SOLUCION FRASCO X 120 ML,,,,,,FRASCO X 120 ML,,,4058205.0,,,,,,,2174-3,SOLUCION,,,,ARLYT RGP SOLUCION FRASCO X 120 ML
ARLYT FILL,SOLUCION ENVASE CON 4 FRASCOS x 35ml,,,,,,ENVASE CON 4 FRASCOS x 35ml,,,4018205.0,,,,,,,2174-6,SOLUCION,,,,ARLYT FILL SOLUCION ENVASE CON 4 FRASCOS x 35ml
ARLYT SOLUCION SALINA,SOLUCION FRASCO X 500 ML,,,,,,FRASCO X 500 ML,,,4018202.0,,,,,,,2174-6,SOLUCION,,,,ARLYT SOLUCION SALINA SOLUCION FRASCO X 500 ML
59732SOLUCION7795368054866,"7,80E+25",,,,,,,,,,,,,,,,,,,,,"59732SOLUCION7795368054866 7,80E+25"
"5,97E+17","7,80E+25",,,,,,,,,,,,,,,,,,,,,"5,97E+17 7,80E+25"
SOLUCION7795368001600,"7,80E+25",,,,,,,,,,,,,,,,,,,,,"SOLUCION7795368001600 7,80E+25"
2174-4SOLUCION7795368002201,"7,80E+25",,,,,,,,,,,,,,,,,,,,,"2174-4SOLUCION7795368002201 7,80E+25"
2174-4SOLUCION7795368002942,"7,80E+25",,,,,,,,,,,,,,,,,,,,,"2174-4SOLUCION7795368002942 7,80E+25"
2174-1SOLUCION7795368055092,"7,80E+25",,,,,,,,,,,,,,,,,,,,,"2174-1SOLUCION7795368055092 7,80E+25"
2174-1SOLUCION7795368547368,"7,80E+25",,,,,,,,,,,,,,,,,,,,,"2174-1SOLUCION7795368547368 7,80E+25"
2174-1SOLUCION7795368001570,"7,80E+25",,,,,,,,,,,,,,,,,,,,,"2174-1SOLUCION7795368001570 7,80E+25"
2174-1SOLUCION7795368054385,"7,80E+25",,,,,,,,,,,,,,,,,,,,,"2174-1SOLUCION7795368054385 7,80E+25"
2174-1SOLUCION7795368001655,"7,80E+25",,,,,,,,,,,,,,,,,,,,,"2174-1SOLUCION7795368001655 7,80E+25"
2174-4SOLUCION7795368001051,"7,80E+25",,,,,,,,,,,,,,,,,,,,,"2174-4SOLUCION7795368001051 7,80E+25"
SOLUCION7795368000160,"7,80E+12",,,,,,,,,,,,,,,,,,,,,"SOLUCION7795368000160 7,80E+12"
2174-5SOLUCION7795368000047,"7,80E+12",,,,,,,,,,,,,,,,,,,,,"2174-5SOLUCION7795368000047 7,80E+12"
2174-2SOLUCION7795368054149,"7,80E+12",,,,,,,,,,,,,,,,,,,,,"2174-2SOLUCION7795368054149 7,80E+12"
2174-2SOLUCION7795368054569,"7,80E+12",,,,,,,,,,,,,,,,,,,,,"2174-2SOLUCION7795368054569 7,80E+12"
2174-2SOLUCION7795368001273,"7,80E+12",,,,,,,,,,,,,,,,,,,,,"2174-2SOLUCION7795368001273 7,80E+12"
2174-2SOLUCION7795368001075,"7,80E+12",,,,,,,,,,,,,,,,,,,,,"2174-2SOLUCION7795368001075 7,80E+12"
2174-3SOLUCION7795368547528,"7,80E+12",,,,,,,,,,,,,,,,,,,,,"2174-3SOLUCION7795368547528 7,80E+12"
BIFORT 25 mg.comp.x 2,,,,,,,,,,8050213,,,,,,,47.122,,,,,BIFORT 25 mg.comp.x 2 
BIFORT 25 mg.comp.x 10,,,,,,,,,,8050216,,,,,,,47.122,,,,,BIFORT 25 mg.comp.x 10 
BIFORT 50 mg.comp.x 2,,,,,,,,,,8050217,,,,,,,47.122,,,,,BIFORT 50 mg.comp.x 2 
BIFORT 50 mg.comp.x 4,,,,,,,,,,8050218,,,,,,,47.122,,,,,BIFORT 50 mg.comp.x 4 
BIFORT 50 mg.comp.x 10,,,,,,,,,,8050220,,,,,,,47.122,,,,,BIFORT 50 mg.comp.x 10 
BIFORT 50 mg.comp.x 20,,,,,,,,,,8050211,,,,,,,47.122,,,,,BIFORT 50 mg.comp.x 20 
BIFORT 100 mg.comp.x 2,,,,,,,,,,8050221,,,,,,,47.122,,,,,BIFORT 100 mg.comp.x 2 
BIFORT 100 mg.comp.x 4,,,,,,,,,,8050222,,,,,,,47.122,,,,,BIFORT 100 mg.comp.x 4 
BIFORT 100 mg.comp.x 6,,,,,,,,,,8050223,,,,,,,47.122,,,,,BIFORT 100 mg.comp.x 6 
BIFORT 100 mg.comp.x 10,,,,,,,,,,8050224,,,,,,,47.122,,,,,BIFORT 100 mg.comp.x 10 
BIFORT-M 50 mg.comp.mast.x 2 FRUTILLA,,,,,,,,,,8050298,,,,,,,47.122,,,,,BIFORT-M 50 mg.comp.mast.x 2 FRUTILLA 
BIFORT-M 50 mg.comp.mast.x 20 FRUTILLA,,,,,,,,,,8050300,,,,,,,47.122,,,,,BIFORT-M 50 mg.comp.mast.x 20 FRUTILLA 
BIFORT-M 50 mg.comp.mast.x 1,,,,,,,,,,8050283,,,,,,,47.122,,,,,BIFORT-M 50 mg.comp.mast.x 1 
BIFORT-M 50 mg.comp.mast.x 2,,,,,,,,,,8050284,,,,,,,47.122,,,,,BIFORT-M 50 mg.comp.mast.x 2 
BIFORT-M 50 mg.comp.mast.x 4,,,,,,,,,,8050288,,,,,,,47.122,,,,,BIFORT-M 50 mg.comp.mast.x 4 
BIFORT-M 50 mg.comp.mast.x 20,,,,,,,,,,8050285,,,,,,,47.122,,,,,BIFORT-M 50 mg.comp.mast.x 20 
BIFORT-M 50 mg.comp.mast.x 30,,,,,,,,,,8050286,,,,,,,47.122,,,,,BIFORT-M 50 mg.comp.mast.x 30 
BIFORT-M 50 mg.comp.mast.x 60,,,,,,,,,,8050287,,,,,,,47.122,,,,,BIFORT-M 50 mg.comp.mast.x 60 
CALMADOR  100 mg.amp.x 6,,,,,,,,,,8050033,,,,,,,38.641,,,,,CALMADOR  100 mg.amp.x 6 
CALMADOR  50 mg.amp.x 3,,,,,,,,,,8050117,,,,,,,38.641,,,,,CALMADOR  50 mg.amp.x 3 
CALMADOR  50 mg.amp.x 6,,,,,,,,,,8050032,,,,,,,38.641,,,,,CALMADOR  50 mg.amp.x 6 
CALMADOR  Comp.x 6,,,,,,,,,,8050031,,,,,,,38.641,,,,,CALMADOR  Comp.x 6 
CALMADOR  Comp.x 10,,,,,,,,,,8050063,,,,,,,38.641,,,,,CALMADOR  Comp.x 10 
CALMADOR  Comp.x 20,,,,,,,,,,8050025,,,,,,,38.641,,,,,CALMADOR  Comp.x 20 
CALMADOR  Comp.x 30,,,,,,,,,,8050037,,,,,,,38.641,,,,,CALMADOR  Comp.x 30 
CALMADOR DEX COMP. X 20,,,,,,,,,,8050039,,,,,,,60.029,,,,,CALMADOR DEX COMP. X 20 
CALMADOR  50 Mg./ml. gts.x 10 ml.,,,,,,,,,,8050029,,,,,,,38.641,,,,,CALMADOR  50 Mg./ml. gts.x 10 ml. 
CALMADOR  50 Mg./ml. gts.x 20 ml.,,,,,,,,,,8050030,,,,,,,38.641,,,,,CALMADOR  50 Mg./ml. gts.x 20 ml. 
CALMADOR 100 Mg./ml.  gts. X 10 ml.,,,,,,,,,,8050410,,,,,,,38.641,,,,,CALMADOR 100 Mg./ml.  gts. X 10 ml. 
CALMADOR 100 Mg./ml.  gts. X 20 ml.,,,,,,,,,,8050411,,,,,,,38.641,,,,,CALMADOR 100 Mg./ml.  gts. X 20 ml. 
CALMADOR CB 50 Mg. x 10 CÃ¡p. Bl.,,,,,,,,,,8050391,,,,,,,38.641,,,,,CALMADOR CB 50 Mg. x 10 CÃ¡p. Bl. 
CALMADOR CB 50 Mg. x 20 CÃ¡p. Bl.,,,,,,,,,,8050392,,,,,,,38.641,,,,,CALMADOR CB 50 Mg. x 20 CÃ¡p. Bl. 
CALMADOR CB 50 Mg. x 30 CÃ¡p. Bl.,,,,,,,,,,8050393,,,,,,,38.641,,,,,CALMADOR CB 50 Mg. x 30 CÃ¡p. Bl. 
CALMADOR  Retard 100 mg.x 10 comp.,,,,,,,,,,8050058,,,,,,,38.641,,,,,CALMADOR  Retard 100 mg.x 10 comp. 
CALMADOR RETARD 150 Mg. x 5 Comp. Rec. Lib. Prol.,,,,,,,,,,8050408,,,,,,,38.641,,,,,CALMADOR RETARD 150 Mg. x 5 Comp. Rec. Lib. Prol. 
CALMADOR PLUS x 10 comp.rec.,,,,,,,,,,8050022,,,,,,,50.984,,,,,CALMADOR PLUS x 10 comp.rec. 
CALMADOR PLUS x 20 comp.rec.,,,,,,,,,,8050023,,,,,,,50.984,,,,,CALMADOR PLUS x 20 comp.rec. 
CALMADOR PLUS x 30 comp.rec.,,,,,,,,,,8050035,,,,,,,50.984,,,,,CALMADOR PLUS x 30 comp.rec. 
CAPILFOR 1 mg.x 30 comp.,,,,,,,,,,8050038,,,,,,,55.718,,,,,CAPILFOR 1 mg.x 30 comp. 
COX-QUIN 60 Mg. X 14 Comp. Rec.,,,,,,,,,,8050418,,,,,,,58.024,,,,,COX-QUIN 60 Mg. X 14 Comp. Rec. 
COX-QUIN 60 Mg. X 28 Comp. Rec.,,,,,,,,,,8050419,,,,,,,58.024,,,,,COX-QUIN 60 Mg. X 28 Comp. Rec. 
COX-QUIN 60 Mg. X 30 Comp. Rec.,,,,,,,,,,8050394,,,,,,,58.024,,,,,COX-QUIN 60 Mg. X 30 Comp. Rec. 
COX-QUIN 90 Mg. X 14 Comp. Rec.,,,,,,,,,,8050420,,,,,,,58.024,,,,,COX-QUIN 90 Mg. X 14 Comp. Rec. 
COX-QUIN 90 Mg. X 15 Comp. Rec.,,,,,,,,,,8050395,,,,,,,58.024,,,,,COX-QUIN 90 Mg. X 15 Comp. Rec. 
COX-QUIN 90 Mg. X 28 Comp. Rec.,,,,,,,,,,8050421,,,,,,,58.024,,,,,COX-QUIN 90 Mg. X 28 Comp. Rec. 
COX-QUIN 90 Mg. X 30 Comp. Rec.,,,,,,,,,,8050396,,,,,,,58.024,,,,,COX-QUIN 90 Mg. X 30 Comp. Rec. 
COX-QUIN 120 Mg. X 7 Comp. Rec.,,,,,,,,,,8050397,,,,,,,58.024,,,,,COX-QUIN 120 Mg. X 7 Comp. Rec. 
CRUZAL 20 x 1 jer.prell.2 ml.,,,,,,,,,,8050118,,,,,,,57.253,,,,,CRUZAL 20 x 1 jer.prell.2 ml. 
CRUZAL 40 x 1 jer.prell.2 ml.,,,,,,,,,,8050119,,,,,,,57.253,,,,,CRUZAL 40 x 1 jer.prell.2 ml. 
CRUZAL L 20 x 1 jga.prell.+f.a.+adapt,,,,,,,,,,8050124,,,,,,,57.253,,,,,CRUZAL L 20 x 1 jga.prell.+f.a.+adapt 
"DARIFIN 7,5 Mg. x 30 Comp. Rec. L.P.",,,,,,,,,,8050405,,,,,,,56.746,,,,,"DARIFIN 7,5 Mg. x 30 Comp. Rec. L.P. "
DARIFIN 15 Mg.x 30 Comp. Rec. L.P.,,,,,,,,,,8050406,,,,,,,56.746,,,,,DARIFIN 15 Mg.x 30 Comp. Rec. L.P. 
DERRUMAL 300 X 30 cap.,,,,,,,,,,8050172,,,,,,,45.240,,,,,DERRUMAL 300 X 30 cap. 
FIBAN 50 mg. X 30 comp.rec.,,,,,,,,,,8050070,,,,,,,55.126,,,,,FIBAN 50 mg. X 30 comp.rec. 
FIBAN 100 mg. X 30 comp.rec.,,,,,,,,,,8050071,,,,,,,55.126,,,,,FIBAN 100 mg. X 30 comp.rec. 
FINALIT Comp. Lib. Prol. X 30,,,,,,,,,,8050398,,,,,,,57.891,,,,,FINALIT Comp. Lib. Prol. X 30 
FINALIT Comp. Lib. Prol. X 60,,,,,,,,,,8050399,,,,,,,57.891,,,,,FINALIT Comp. Lib. Prol. X 60 
FINALIT Pol. Sol. Sob. X 60,,,,,,,,,,8050400,,,,,,,57.891,,,,,FINALIT Pol. Sol. Sob. X 60 
FINASTERIN x 30 comp.,,,,,,,,,,8050201,,,,,,,43.008,,,,,FINASTERIN x 30 comp. 
FINASTERIN x 60 comp.,,,,,,,,,,8050199,,,,,,,43.008,,,,,FINASTERIN x 60 comp. 
FINDECLIN COMBI x 32 comp.,,,,,,,,,,8050280,,,,,,,47.097/ 51.746,,,,,FINDECLIN COMBI x 32 comp. 
FINDECLIN 70 mg.x 4 comp.,,,,,,,,,,8050277,,,,,,,47.097,,,,,FINDECLIN 70 mg.x 4 comp. 
FINDECLIN 70 mg.x 8 comp.,,,,,,,,,,8050278,,,,,,,47.097,,,,,FINDECLIN 70 mg.x 8 comp. 
FOSFOMIK 2 mg. x 30 comp.,,,,,,,,,,8050205,,,,,,,44.376,,,,,FOSFOMIK 2 mg. x 30 comp. 
FOSFOMIK 5 mg.x 20 comp.,,,,,,,,,,8050206,,,,,,,44.376,,,,,FOSFOMIK 5 mg.x 20 comp. 
FOSFOMIK 5 mg.x 30 comp.,,,,,,,,,,8050207,,,,,,,44.376,,,,,FOSFOMIK 5 mg.x 30 comp. 
HIPERTENSAL 5 mg.x 30 comp.,,,,,,,,,,8050178,,,,,,,47.431,,,,,HIPERTENSAL 5 mg.x 30 comp. 
HIPERTENSAL 10 mg.x 30 comp.,,,,,,,,,,8050180,,,,,,,47.431,,,,,HIPERTENSAL 10 mg.x 30 comp. 
KERAMIX 10 mg.x 10 comp.,,,,,,,,,,8050310,,,,,,,55.213,,,,,KERAMIX 10 mg.x 10 comp. 
KERAMIX 20 mg.x 10 comp.,,,,,,,,,,8050312,,,,,,,55.213,,,,,KERAMIX 20 mg.x 10 comp. 
KERAMIX 20 mg.x 20 comp.,,,,,,,,,,8050313,,,,,,,55.213,,,,,KERAMIX 20 mg.x 20 comp. 
KERAMIX RAPID 10 mg.x 10 comp.rec,,,,,,,,,,8050314,,,,,,,55.213,,,,,KERAMIX RAPID 10 mg.x 10 comp.rec 
LETONDAL X 10 comp.,,,,,,,,,,8050153,,,,,,,38.791,,,,,LETONDAL X 10 comp. 
LIPAREX DUO 10/10 x 60 comp.,,,,,,,,,,8050241,,,,,,,46.744/52.689,,,,,LIPAREX DUO 10/10 x 60 comp. 
LIPAREX DUO 20/10 x 60 comp.,,,,,,,,,,8050242,,,,,,,46.744/52.689,,,,,LIPAREX DUO 20/10 x 60 comp. 
LIPAREX 10 mg.x 30 comp.,,,,,,,,,,8050236,,,,,,,46.744,,,,,LIPAREX 10 mg.x 30 comp. 
LIPAREX 10 mg.x 60 comp.,,,,,,,,,,8050237,,,,,,,46.744,,,,,LIPAREX 10 mg.x 60 comp. 
LIPAREX 20 mg.x 30 comp.,,,,,,,,,,8050238,,,,,,,46.744,,,,,LIPAREX 20 mg.x 30 comp. 
LIPAREX 20 mg.x 60 comp.,,,,,,,,,,8050239,,,,,,,46.744,,,,,LIPAREX 20 mg.x 60 comp. 
LIPAREX 40 mg.x 30 comp.,,,,,,,,,,8050240,,,,,,,46.744,,,,,LIPAREX 40 mg.x 30 comp. 
LIPAREX PLUS 10    10/10 x 30 comp.,,,,,,,,,,8050111,,,,,,,54.220,,,,,LIPAREX PLUS 10    10/10 x 30 comp. 
LIPAREX PLUS 20    20/10 x 30 comp.,,,,,,,,,,8050112,,,,,,,54.220,,,,,LIPAREX PLUS 20    20/10 x 30 comp. 
LISTAFLEX x 10 comp.,,,,,,,,,,8050193,,,,,,,49.291,,,,,LISTAFLEX x 10 comp. 
LISTAFLEX x 20 comp.,,,,,,,,,,8050202,,,,,,,49.291,,,,,LISTAFLEX x 20 comp. 
LISTAFLEX x 30 comp.,,,,,,,,,,8050195,,,,,,,49.291,,,,,LISTAFLEX x 30 comp. 
LISTAFLEX FORTE x 10 comp.,,,,,,,,,,8050188,,,,,,,53.304,,,,,LISTAFLEX FORTE x 10 comp. 
LISTAFLEX FORTE x 20 comp.,,,,,,,,,,8050189,,,,,,,53.304,,,,,LISTAFLEX FORTE x 20 comp. 
LISTAFLEX FORTE x 30 comp.,,,,,,,,,,8050192,,,,,,,53.304,,,,,LISTAFLEX FORTE x 30 comp. 
"LUDASTERIN 0,5 mg.x 30 comp.",,,,,,,,,,8050108,,,,,,,51.361,,,,,"LUDASTERIN 0,5 mg.x 30 comp. "
"LUDASTERIN 0,5 mg.x 60 comp.",,,,,,,,,,8050109,,,,,,,51.361,,,,,"LUDASTERIN 0,5 mg.x 60 comp. "
LUPAN DERMICO X 50 gr.,,,,,,,,,,8050141,,,,,,,37.269,,,,,LUPAN DERMICO X 50 gr. 
LUPAN PROCT  PDAX50 gr en 10 canulas,,,,,,,,,,8050140,,,,,,,37.269,,,,,LUPAN PROCT  PDAX50 gr en 10 canulas 
